Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
[42]     0.0    0.00    0.00       5         CCfgRemoteUnit::loadConfig(int, CCfgConfigTag*) [42]
                0.00    0.00      55/65          CCfgConfigTag::findConfigTagByName(char*) [25]
                0.00    0.00      20/240         strNCpyUtil(char*, char*, int) [17]
-----------------------------------------------
                0.00    0.00       4/4           CCmdListener::sendDataMessageToRemoteUnit(long, unsigned char*, int) [44]
[43]     0.0    0.00    0.00       4         CCfgConfig::getRemoteUnitPtr(int) [43]
                0.00    0.00       4/8           CCfgRemoteUnit::getOid() [35]
-----------------------------------------------
                0.00    0.00       4/4           CCmdListener::sendStringMessageToRemoteUnit(long, char*) [45]
[44]     0.0    0.00    0.00       4         CCmdListener::sendDataMessageToRemoteUnit(long, unsigned char*, int) [44]
                0.00    0.00       4/10          CAppMain::getConfigPtr() [32]
                0.00    0.00       4/4           CCfgConfig::getRemoteUnitPtr(int) [43]
                0.00    0.00       4/4           CCfgRemoteUnit::getInPort() [46]
                0.00    0.00       4/4           CCfgRemoteUnit::getIpAddr() [47]
                0.00    0.00       4/5           CCmdListener::sendDataMessageToAny(char*, int, unsigned char*, int) [39]
-----------------------------------------------
                0.00    0.00       1/4           CCmdDispatch::serverTerminate(CCfgRemoteUnit*) [89]
                0.00    0.00       1/4           CCmdDispatch::doActionTS1MkDir(CCfgRemoteUnit*, long, long) [90]
                0.00    0.00       1/4           CCmdDispatch::doActionTS1Upload(CCfgRemoteUnit*, long, long) [91]
                0.00    0.00       1/4           CCmdDispatch::doActionTS1DownloadAndProcess(CCfgRemoteUnit*, long, long, long) [92]
[45]     0.0    0.00    0.00       4         CCmdListener::sendStringMessageToRemoteUnit(long, char*) [45]
                0.00    0.00       4/4           CCmdListener::sendDataMessageToRemoteUnit(long, unsigned char*, int) [44]
-----------------------------------------------
                0.00    0.00       4/4           CCmdListener::sendDataMessageToRemoteUnit(long, unsigned char*, int) [44]
[46]     0.0    0.00    0.00       4         CCfgRemoteUnit::getInPort() [46]
-----------------------------------------------
                0.00    0.00       4/4           CCmdListener::sendDataMessageToRemoteUnit(long, unsigned char*, int) [44]
[47]     0.0    0.00    0.00       4         CCfgRemoteUnit::getIpAddr() [47]
-----------------------------------------------
                0.00    0.00       3/3           CCmdTest::waitMessage(int) [49]
[48]     0.0    0.00    0.00       3         CCfgConfig::getHostServerPtr() [48]
-----------------------------------------------
                0.00    0.00       3/3           CCmdTest::remoteBenchmark2() [139]
[49]     0.0    0.00    0.00       3         CCmdTest::waitMessage(int) [49]
                0.00    0.00       9/92          memSetNullUtil(unsigned char*, int) [22]
                0.00    0.00       6/6           CCfgHostServer::getInPort() [37]
