Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     34.05     0.00        3     0.00     0.00  CCfgHostServer::getIpAddr()
  0.00     34.05     0.00        3     0.00     0.00  CDskRoundRobin::addRoundRobinTableItem(CCfgRemoteUnit*, CDskDiskGroup*, CDskDiskDev*)
  0.00     34.05     0.00        3     0.00     0.00  CAppMain::getDiskManPtr()
  0.00     34.05     0.00        3     0.00     1.91  CCmdExec::doExec()
  0.00     34.05     0.00        3     0.00     0.00  CCmdExec::CCmdExec(CCmdRequest*, CCmdResponse*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdExec::~CCmdExec()
  0.00     34.05     0.00        2     0.00     0.00  CCfgConfig::getRemoteUnitPtr(int)
  0.00     34.05     0.00        2     0.00     0.00  CDataTable::calculateDataPart(long, long, long*)
  0.00     34.05     0.00        2     0.00     0.05  CDataTable::findAllByClassifScoreList(data_table_struct**, long*, double*, long, long, long)
  0.00     34.05     0.00        2     0.00     0.00  CDskDiskMan::getCurrDir()
  0.00     34.05     0.00        2     0.00     0.00  CDskDiskMan::getPathMan()
  0.00     34.05     0.00        2     0.00     0.00  CTableSpace::findItem(long, tablespace_struct**)
  0.00     34.05     0.00        2     0.00     0.00  CCmdListener::setRunning(int)
  0.00     34.05     0.00        2     0.00     0.00  CCmdListener::stop()
  0.00     34.05     0.00        2     0.00     0.00  CCmdListener::getInPort()
  0.00     34.05     0.00        2     0.00     0.00  CCfgRemoteUnit::getInPort()
  0.00     34.05     0.00        2     0.00     0.00  CCfgRemoteUnit::getIpAddr()
  0.00     34.05     0.00        2     0.00     0.00  CAppExec::initDataHist()
  0.00     34.05     0.00        2     0.00     0.00  CAppExec::debugDataHist(char*)
  0.00     34.05     0.00        2     0.00     0.05  CAppExec::execTSn_TBLPATSAND(data_table_struct**, long*, double*, long, long, long)
  0.00     34.05     0.00        2     0.00     0.00  CAppExec::CAppExec()
  0.00     34.05     0.00        2     0.00     0.00  CAppExec::~CAppExec()
  0.00     34.05     0.00        2     0.00     0.00  CAppMain::getDataTablePtr(char*)
  0.00     34.05     0.00        2     0.00     0.00  CDskShMem::createShMemObject()
  0.00     34.05     0.00        2     0.00     0.00  CDskShMem::init()
  0.00     34.05     0.00        2     0.00     0.00  CDskShMem::terminate()
  0.00     34.05     0.00        2     0.00     0.00  CDskShMem::CDskShMem()
  0.00     34.05     0.00        2     0.00     0.00  CDskShMem::~CDskShMem()
  0.00     34.05     0.00        2     0.00     0.00  CSequence::debug(int, char const*, char const*)
  0.00     34.05     0.00        1     0.00     0.00  _GLOBAL__sub_I_gAppMain
  0.00     34.05     0.00        1     0.00     0.02  _GLOBAL__sub_I_gCmdListener
  0.00     34.05     0.00        1     0.00     0.00  _GLOBAL__sub_I_gExtSched
  0.00     34.05     0.00        1     0.00     0.00  showParams(cmdline_struct*)
  0.00     34.05     0.00        1     0.00     0.00  parserParams(int, char**, cmdline_struct*)
  0.00     34.05     0.00        1     0.00     0.00  getLocalTimeStr(char*)
  0.00     34.05     0.00        1     0.00     0.00  showHeaderMessage()
  0.00     34.05     0.00        1     0.00     0.00  showMessageAndWaitForKey(char const*)
  0.00     34.05     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     34.05     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     34.05     0.00        1     0.00     0.02  __static_initialization_and_destruction_0(int, int)
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfig::loadConfig(char*)
